Process Name           PID  PPID  CPU Mem(KB) IO/s Prio Threa Started Owner          Command
System                   4     0   1%    1296    0   8   309 20-10-05 Unknown        NULL
svchost               2672  1172   0%    7020    0   8     1 20-10-05 Unknown        NULL
svchost               2684  1172   0%    8228    0   8     2 20-10-05 Unknown        NULL
svchost               2752  1172   0%    7816    0   8     3 20-10-05 Unknown        NULL
svchost               2760  1172   0%    8232    0   8     8 20-10-05 Unknown        NULL
dasHost               2836  2672   0%   12408    0   8     2 20-10-05 Unknown        NULL
svchost               2852  1172   0%   12052    0   8     1 20-10-05 Unknown        NULL
NVDisplay.Container   3016  2304   0%   62988    0   8    30 20-10-05 Unknown        NULL
svchost               3040  1172   0%   15876    0   8    11 20-10-05 Unknown        NULL
svchost               2728  1172   0%    6816    0   8     4 20-10-05 Unknown        NULL
svchost               2828  1172   0%    8476    0   8     7 20-10-05 Unknown        NULL
svchost               3096  1172   0%    9176    0   8    12 20-10-05 Unknown        NULL
svchost               3104  1172   0%    7844    0   8     5 20-10-05 Unknown        NULL
svchost               3112  1172   0%   13016    0   8     9 20-10-05 Unknown        NULL
svchost               3324  1172   0%   12324    0   8     7 20-10-05 Unknown        NULL
svchost               3408  1172   0%    8992    0   8    10 20-10-05 Unknown        NULL
svchost               3464  1172   0%   27332    0   8    13 20-10-05 Unknown        NULL
svchost               3672  1172   0%    7144    0   8     5 20-10-05 Unknown        NULL
svchost               3820  1172   0%   18196    0   8    13 20-10-05 Unknown        NULL
svchost               3884  1172   3%   26180    0   8    16 20-10-05 Unknown        NULL
svchost               3892  1172   0%   14168    0   8     4 20-10-05 Unknown        NULL
svchost               3948  1172   0%   19496    0   8    13 20-10-05 Unknown        NULL
spoolsv               4044  1172   0%   17932    0   8     8 20-10-05 Unknown        NULL
svchost               4120  1172   0%    8140    0   8     6 20-10-05 Unknown        NULL
svchost               4248  1172   0%   33200    0   8    21 20-10-05 Unknown        NULL
DAX3API               4256  1172   0%   12628    0   8     7 20-10-05 Unknown        NULL
AdguardSvc            4268  1172   0%   70272    0   8    13 20-10-05 Unknown        NULL
svchost               4276  1172   0%   13772    0   8     8 20-10-05 Unknown        NULL
esif_uf               4284  1172   0%    5672    0  13     3 20-10-05 Unknown        NULL
FMService64           4292  1172   0%    7324    0   8     4 20-10-05 Unknown        NULL
RtkAudUService64      4308  1172   0%    9124    0   8     8 20-10-05 Unknown        NULL
svchost               4316  1172   0%   21840    0   8     6 20-10-05 Unknown        NULL
svchost               4300  1172   0%    6428    0   8     1 20-10-05 Unknown        NULL
svchost               4324  1172   0%    8068    0   8     4 20-10-05 Unknown        NULL
nvcontainer           4332  1172   0%   37696    0   8    37 20-10-05 Unknown        NULL
jhi_service           4340  1172   0%    5020    0   8     2 20-10-05 Unknown        NULL
vmms                  4532  1172   0%   26592    0   8    12 20-10-05 Unknown        NULL
avp                   4560  1172   3%  221420   29   8   181 20-10-05 Unknown        NULL
svchost               4672  1172   0%    8628    0   8     6 20-10-05 Unknown        NULL
svchost               4688  1172   0%    5272    0   8     2 20-10-05 Unknown        NULL
svchost               4804  1172   0%   11712    0   8    12 20-10-05 Unknown        NULL
wlanext               4920  3820   0%    5388    0   8     1 20-10-05 Unknown        NULL
conhost               4948  4920   0%   10160    0   8     2 20-10-05 Unknown        NULL
com.docker.service    5228  1172   0%   41456    0   8     8 20-10-05 Unknown        NULL
svchost               5828  1172   0%    7040    0   8     3 20-10-05 Unknown        NULL
sihost                5872  2328   0%   25600    0   8    11 20-10-05 Zakhar         sihost.exe
svchost               5904  1172   0%   14248    0   8     7 20-10-05 Zakhar         C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc
svchost               5912  1172   0%    7968    0   8     1 20-10-05 Zakhar         C:\Windows\system32\svchost.exe -k BthAppGroup -p -s BluetoothUserService
svchost               5992  1172   0%   29092    0   8     4 20-10-05 Zakhar         C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService
taskhostw             6104  2160   0%   34028    0   8    19 20-10-05 Zakhar         taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
svchost               6112  1172   0%   10992    0   8     3 20-10-05 Unknown        NULL
vmcompute             5704  1172   0%    7324    0   8     3 20-10-05 Unknown        NULL
rundll32              6200  4332   0%    7148    0   8     2 20-10-05 Unknown        NULL
explorer              6348  6244   0%  146728    0   8    92 20-10-05 Zakhar         C:\Windows\Explorer.EXE
svchost               6928  1172   0%   12188    0   8     6 20-10-05 Unknown        NULL
svchost               7072  1172   0%    6740    0   8     1 20-10-05 Unknown        NULL
nvcontainer            896  4332   0%   26296    0   8    13 20-10-05 Zakhar         "C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe" -f "C:\ProgramData\NVIDIA\NvContainerUser%dSPUser.log" -d "C:\Program Files\NVIDIA Corporation\NvContainer\plugins\SPUser" -r -l 3 -p 30000 -st "C:\Program Files\NVIDIA Corporation\NvContainer\NvContainerTelemetryApi.dll" -c
nvcontainer           7212  4332   0%   45828    0   8    24 20-10-05 Zakhar         "C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe" -f "C:\ProgramData\NVIDIA\NvContainerUser%d.log" -d "C:\Program Files\NVIDIA Corporation\NvContainer\plugins\User" -r -l 3 -p 30000 -st "C:\Program Files\NVIDIA Corporation\NvContainer\NvContainerTelemetryApi.dll" -c
DAX3API               7336  4256   0%   10000    0   8     2 20-10-05 Unknown        NULL
svchost               7580  1172   0%   10300    0   8     4 20-10-05 Unknown        NULL
ShellExperienceHost   7784  1424   0%   91460    0   8    32 20-10-05 Zakhar         "C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca
RuntimeBroker         8020  1424   0%   25312    0   8    14 20-10-05 Zakhar         C:\Windows\System32\RuntimeBroker.exe -Embedding
RtkAudUService64      8652  6348   0%    9948    0   8     7 20-10-05 Zakhar         "C:\Windows\System32\RtkAudUService64.exe" -background
LockApp               8892  1424   0%   47656    0   8    20 20-10-05 Zakhar         "C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe" -ServerName:WindowsDefaultLockScreen.AppX7y4nbzq37zn4ks9k7amqjywdat7d3j2z.mca
RuntimeBroker         6640  1424   0%   23772    0   8     5 20-10-05 Zakhar         C:\Windows\System32\RuntimeBroker.exe -Embedding
svchost               9380  1172   0%    6132    0   8     1 20-10-05 Unknown        NULL
Lightshot             9636  9560   0%   16900    0   8     4 20-10-05 Zakhar         "C:\Program Files (x86)\Skillbrains\lightshot\5.5.0.4\Lightshot.exe" 
svchost               9448  1172   0%   10192    0   8     3 20-10-05 Unknown        NULL
NVIDIA Web Helper     9284  4828   0%   14772    0   6    94 20-10-05 Zakhar         "C:\Program Files (x86)\NVIDIA Corporation\NvNode\NVIDIA Web Helper.exe" index.js
conhost               8432  9284   0%    2232    0   6     2 20-10-05 Zakhar         \??\C:\Windows\system32\conhost.exe 0x4
avpui                 1624  4560   0%    2580    0   8    14 20-10-05 Zakhar         "C:\Program Files (x86)\Kaspersky Lab\Kaspersky Free 20.0\avpui.exe" -hidden
nvsphelper64         10324  4332   0%   12576    0   8     5 20-10-05 Unknown        NULL
NVIDIA Share         10360   896   0%   54184    4   8    25 20-10-05 Zakhar         "C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe"
svchost              10444  1172   0%    7044    0   8     1 20-10-05 Unknown        NULL
svchost              10452  1172   0%    8892    0   8     2 20-10-05 Unknown        NULL
svchost              10636  1172   0%    9936    0   8     4 20-10-05 Unknown        NULL
NVIDIA Share         10888 10360   0%   46024    0   8    19 20-10-05 Zakhar         "C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe" --type=gpu-process --field-trial-handle=1940,1872256790132132921,7838261802288618159,131072 --disable-features=VizDisplayCompositor --no-sandbox --log-file="C:\Users\Zakhar\AppData\Local\NVIDIA Corporation\NVIDIA Share\debug.log" --lang=en-US --gpu-preferences=KAAAAAAAAACAAwAAAQAAAAAAAAAAAGAAAAAAAAEAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAFAAAAEAAAAAAAAAAAAAAABgAAABAAAAAAAAAAAQAAAAUAAAAQAAAAAAAAAAEAAAAGAAAA --log-file="C:\Users\Zakhar\AppData\Local\NVIDIA Corporation\NVIDIA Share\debug.log" --service-request-channel-token=12916591234482839952 --mojo-platform-channel-handle=2024 /prefetch:2
NVIDIA Share         11168 10360   0%   76780    5   8    16 20-10-05 Zakhar         "C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe" --type=renderer --no-sandbox --autoplay-policy=no-user-gesture-required --log-file="C:\Users\Zakhar\AppData\Local\NVIDIA Corporation\NVIDIA Share\debug.log" --field-trial-handle=1940,1872256790132132921,7838261802288618159,131072 --disable-features=VizDisplayCompositor --service-pipe-token=6166153969480812240 --lang=en-US --log-file="C:\Users\Zakhar\AppData\Local\NVIDIA Corporation\NVIDIA Share\debug.log" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=6166153969480812240 --renderer-client-id=3 --mojo-platform-channel-handle=2632 /prefetch:1
svchost               6652  1172   0%   20864    0   8    14 20-10-05 Unknown        NULL
ksde                 11908  1172   0%    8484    0   8    31 20-10-05 Unknown        NULL
SgrmBroker           12124  1172   0%    6108    0   8     4 20-10-05 Unknown        NULL
svchost               2800  1172   0%   23796    0   8     6 20-10-05 Unknown        NULL
svchost               2992  1172   0%   10220    0   8     6 20-10-05 Unknown        NULL
ksdeui                1652 11908   0%    3296    0   8     5 20-10-05 Zakhar         "C:\Program Files (x86)\Kaspersky Lab\Kaspersky Secure Connection 4.0\ksdeui.exe" -hidden
svchost               9336  1172   0%    8824    0   8     1 20-10-05 Unknown        NULL
svchost              11096  1172   0%   17516    0   8     3 20-10-05 Unknown        NULL
SystemSettingsBroker  2804  1424   0%   20020    0   8     8 09:18:11 Zakhar         C:\Windows\System32\SystemSettingsBroker.exe -Embedding
svchost               3920  1172   0%    8756    0   8     6 09:18:11 Unknown        NULL
svchost              10608  1172   0%    5480    0   8     3 12:49:48 Unknown        NULL
opera                 5272 10672   3%  233688  178   8    27 12:50:03 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --ran-launcher --started-from-shortcut --instance-name=fb45c1d750147875a22b7d4c73a72aae --splash-handle=0
opera_crashreporter   8076  5272   0%    8628    0   8     8 12:50:03 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera_crashreporter.exe" --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler "--database=C:\Users\Zakhar\AppData\Roaming\Opera Software\Opera GX Stable\Crash Reports" "--crash-count-file=C:\Users\Zakhar\AppData\Roaming\Opera Software\Opera GX Stable\crash_count.txt" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktopGX --annotation=ver=71.0.3770.205 --initial-client-data=0x30c,0x310,0x314,0x2e8,0x318,0x7ff874ff39f8,0x7ff874ff3a08,0x7ff874ff3a18
opera                 4888  5272   0%  168380  174  10    37 12:50:03 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=gpu-process --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --gpu-preferences=MAAAAAAAAADgAAAwAAAAAAAAAAAAAAAAAABgAAAAAAAQAAAAAAAAAAAAAAAAAAAAKAAAAAQAAAAgAAAAAAAAACgAAAAAAAAAMAAAAAAAAAA4AAAAAAAAABAAAAAAAAAAAAAAAAUAAAAQAAAAAAAAAAAAAAAGAAAAEAAAAAAAAAABAAAABQAAABAAAAAAAAAAAQAAAAYAAAA= --mojo-platform-channel-handle=1720 /prefetch:2
opera                 3496  5272   0%   50956   17   8    15 12:50:03 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --service-sandbox-type=network --enable-quic --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --mojo-platform-channel-handle=1780 /prefetch:8
opera                 7132  5272   0%   66956    1   8    14 12:50:03 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --extension-process --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3036 /prefetch:1
opera                 9312  5272   0%   85432    0   8    18 12:50:03 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=10 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3360 /prefetch:1
opera                 2140  5272   0%   26888    0   4    14 12:50:03 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=11 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3376 /prefetch:1
opera                 1980  5272   0%   26856    0   4    14 12:50:03 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=12 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3364 /prefetch:1
opera                12020  5272   0%  106800    0   4    15 12:50:03 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=14 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3784 /prefetch:1
opera                11412  5272   0%  113292    0   4    15 12:50:03 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --extension-process --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=16 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=4320 /prefetch:1
opera                 5928  5272   0%   76388    0   8    14 12:50:03 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --extension-process --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3836 /prefetch:1
opera                 5136  5272   0%   20560  100   8     9 12:50:04 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --service-sandbox-type=audio --enable-quic --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --mojo-platform-channel-handle=4528 /prefetch:8
opera                11364  5272   0%   21716    0   8     7 12:50:04 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=utility --utility-sub-type=proxy_resolver.mojom.ProxyResolverFactory --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --service-sandbox-type=proxy_resolver --enable-quic --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --mojo-platform-channel-handle=4760 /prefetch:8
opera                 2376  5272   0%   58608    0   8    14 12:50:04 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --extension-process --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3084 /prefetch:1
opera                 6396  5272   0%   67908    0   8    16 12:50:04 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --extension-process --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=18 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5380 /prefetch:1
opera                 5764  5272   0%   44156    0   4    15 12:52:08 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=32 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6680 /prefetch:1
opera                 2556  5272   0%  114092    0   8    14 12:52:19 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --extension-process --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=35 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6960 /prefetch:1
opera                 4400  5272   0%   33160    0   8     6 12:52:19 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=ppapi --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --ppapi-flash-args --lang=ru --device-scale-factor=1.25 --ppapi-antialiased-text-enabled=1 --ppapi-subpixel-rendering-setting=1 --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --mojo-platform-channel-handle=7416 /prefetch:3
svchost               6872  1172   0%    7460    0   8     4 13:30:53 Unknown        NULL
opera                 9648  5272   1%  172464  101   8    31 13:38:27 Zakhar         "C:\Users\Zakhar\AppData\Local\Programs\Opera GX\71.0.3770.205\opera.exe" --type=renderer --field-trial-handle=1632,15750910078341992813,5370538149923182589,131072 --lang=ru --enable-auto-reload --with-feature:chroma-support=on --with-feature:gx-launcher=on --with-feature:gx-partner-panels=on --with-feature:gx-lights-api=on --with-feature:gx-limiters-api=on --with-feature:gx-palette-api=on --with-feature:gx-themes-api=on --with-feature:import-from-opera=on --with-feature:search-engine-suggestion=on --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=39 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=7880 /prefetch:1
